Smoothing,Accuracy,Sensitivity,Specificity,BAccuracy,BSensitivity,BSpecificity
16,0.7429,0.90,0.59,0.7989,0.95,0.50
8,0.7475,0.89,0.61,0.8061,0.95,0.52
4,0.7540,0.88,0.62,0.8126,0.95,0.54
2,0.7580,0.88,0.64,0.8212,0.94,0.57
1,0.7660,0.88,0.65,0.8277,0.94,0.60
0,0.8004,0.86,0.74,0.8552,0.93,0.71
0.1,0.7805,0.86,0.70,0.8476,0.94,0.66
0.01,0.7869,0.86,0.71,0.8513,0.94,0.68
0.001,0.7914,0.85,0.73,0.8535,0.93,0.69
0.0001,0.7954,0.85,0.74,0.8535,0.92,0.71
1E-05,0.7993,0.86,0.74,0.8550,0.93,0.71
1E-06,0.8004,0.86,0.74,0.8552,0.93,0.71
1E-07,0.8004,0.86,0.74,0.8552,0.93,0.71
1E-08,0.8004,0.86,0.74,0.8552,0.93,0.71
1E-09,0.8004,0.86,0.74,0.8552,0.93,0.71
1E-10,0.8004,0.86,0.74,0.8552,0.93,0.71
